Card_UID,Card_SNO
2389215,250R001815
2389216,250R001816
2389217,250R001817
2389218,250R001818
2389219,250R001819
2389220,250R001820
2389221,250R001821
2389222,250R001822
2389223,250R001823
2389224,250R001824
2389225,250R001825
2389226,250R001826
2389227,250R001827
2389228,250R001828
2389229,250R001829
2389230,250R001830
2389231,250R001831
2389232,250R001832
2389233,250R001833
2389234,250R001834
2389235,250R001835
2389236,250R001836
2389237,250R001837
2389238,250R001838
2389239,250R001839
2389240,250R001840
2389241,250R001841
2389242,250R001842
2389243,250R001843
2389244,250R001844
2389245,250R001845
2389246,250R001846
2389247,250R001847
2389248,250R001848
2389249,250R001849
2389250,250R001850
2389251,250R001851
2389252,250R001852
2389253,250R001853
2389254,250R001854
2389255,250R001855
2389256,250R001856
2389257,250R001857
2389258,250R001858
2389259,250R001859
2389260,250R001860
2389261,250R001861
2389262,250R001862
2389263,250R001863
2389264,250R001864
2389265,250R001865
2389266,250R001866
2389267,250R001867
